committee_name,donor_name,amount,date,candidate_name,race_name
Protect Arizona Values PAC,Valley Healthcare Group,107666.08,2021-04-29,Logan Rodriguez,US House District 1
Neighbors for Better Government,Desert Tech Partners,17222.47,2025-05-15,Mia Hall,State House District 7
Keep AZ Moving Committee,Desert Tech Partners,125046.41,2020-04-01,Elijah Lewis,Pima County Board District 3
Sunrise Civic Action Fund,Copper Ridge Holdings,24379.09,2025-09-30,Evelyn Clark,US House District 1
Citizens for Fair Elections,Horizon Media Group,25159.62,2022-01-07,Olivia Johnson,Pima County Board District 3
Arizona Future Coalition,Pioneer Energy Group,3038.35,2023-03-07,Evelyn Lewis,Pima County Board District 3
Arizona Families First,Desert Tech Partners,130128.53,2021-11-29,Jacob Martin,State House District 20
Sunrise Civic Action Fund,Southwest AgriFund,119243.76,2022-01-14,Jacob Brown,State House District 7
Vote Integrity Fund,Red Rock Philanthropy,108696.97,2023-11-04,Isabella Davis,Maricopa County Supervisor District 2
Bold Arizona Voices,Gila River Foundation,34664.61,2024-04-27,Evelyn Martinez,Pima County Board District 3
Protect Arizona Values PAC,Sunrise Ventures LLC,128973.86,2025-08-27,Sophia Thompson,Governor
Neighbors for Better Government,Pioneer Energy Group,14670.71,2025-05-03,Olivia Rodriguez,Secretary of State
Bold Arizona Voices,Blue Sky Developers,75623.55,2021-04-26,Liam Robinson,Pima County Board District 3
Arizona Families First,Gila River Foundation,81008.08,2020-01-05,Olivia Rodriguez,Phoenix City Council District 4
Bold Arizona Voices,Frontier Manufacturing Co.,78426.12,2024-02-26,Abigail White,Phoenix City Council District 4
Clean Government Project,Copper Ridge Holdings,34615.57,2025-05-28,Harper White,Tucson City Council District 1
Arizona Workers Alliance,Frontier Manufacturing Co.,120742.0,2021-02-04,Logan Clark,State House District 7
Desert Shores Coalition,Valley Healthcare Group,136535.28,2020-12-09,James Wilson,State Senate District 5
Grand Canyon Progress PAC,Blue Sky Developers,38856.3,2020-01-23,Benjamin White,Attorney General
Desert Sunrise Action,Desert Orchard LLC,78500.46,2025-10-29,Ava Clark,State Treasurer
Citizens for Fair Elections,Pioneer Energy Group,120692.0,2024-08-01,Sophia Walker,Phoenix City Council District 4
Valley Voters Alliance,Sunrise Ventures LLC,87909.19,2022-12-06,Ethan Lewis,US House District 1
Clean Government Project,Saguaro Capital,91879.13,2024-06-15,Evelyn Moore,State House District 7
Arizona Workers Alliance,Desert Tech Partners,72499.55,2024-02-25,Benjamin Robinson,State House District 7
Arizona Future Coalition,Saguaro Capital,86753.26,2024-06-18,Isabella Taylor,State House District 20
Desert Sunrise Action,Valley Healthcare Group,112235.18,2025-01-03,Michael Garcia,Secretary of State
Arizona Workers Alliance,Desert Orchard LLC,76374.45,2023-10-18,Emma Miller,US House District 1
Arizona Workers Alliance,Saguaro Capital,106091.79,2021-10-20,Emily Lee,Pima County Board District 3
Desert Shores Coalition,Red Rock Philanthropy,70882.38,2024-11-18,Noah Brown,Governor
Arizona Families First,Sunrise Ventures LLC,12235.95,2020-06-03,Mason Moore,State Senate District 5
Desert Sunrise Action,Pioneer Energy Group,98512.24,2023-03-19,Amelia Rodriguez,Attorney General
Desert Sunrise Action,Blue Sky Developers,96133.62,2024-12-03,Ella Davis,Governor
Citizens for Fair Elections,Desert Tech Partners,43079.48,2020-05-17,Michael Thompson,Secretary of State
Arizona Workers Alliance,Blue Sky Developers,34942.73,2021-11-25,Harper Walker,Maricopa County Supervisor District 2
Neighbors for Better Government,Copper Ridge Holdings,293.02,2021-10-06,Mason Lewis,State Senate District 12
Arizona Families First,Canyon Ridge Investments,100531.89,2024-07-18,Amelia Moore,State Treasurer
Vote Integrity Fund,Desert Tech Partners,105617.38,2021-01-04,Ava Hall,Maricopa County Supervisor District 2
Arizona Future Coalition,Canyon Ridge Investments,52377.26,2023-02-06,Benjamin Clark,Tucson City Council District 1
Sunrise Civic Action Fund,Blue Sky Developers,86342.28,2022-12-05,Charlotte Jackson,US House District 2
Protect Arizona Values PAC,Pioneer Energy Group,11089.8,2023-04-20,Emma Robinson,Maricopa County Supervisor District 2
Valley Voters Alliance,Sunrise Ventures LLC,131447.93,2022-10-21,Harper Anderson,State Treasurer
Desert Sunrise Action,Gila River Foundation,115552.59,2023-10-23,Evelyn Martin,State House District 7
Arizona Workers Alliance,Gila River Foundation,129337.99,2025-05-28,Charlotte Clark,Phoenix City Council District 4
Arizona Families First,Canyon Ridge Investments,118351.24,2022-06-21,Amelia Lewis,US Senate
Neighbors for Better Government,Desert Orchard LLC,143327.99,2025-10-16,Mia White,US House District 2
Arizona Future Coalition,Copper Ridge Holdings,43271.62,2024-06-22,Isabella Wilson,Tucson City Council District 1
Neighbors for Better Government,Desert Orchard LLC,83294.09,2022-01-01,Mia Martinez,Secretary of State
Keep AZ Moving Committee,Mesa Community Trust,40544.1,2022-02-17,Sophia Clark,State Senate District 12
Keep AZ Moving Committee,Desert Orchard LLC,36497.96,2022-12-23,Mason Hall,US House District 2
Sunrise Civic Action Fund,Desert Tech Partners,53565.1,2021-03-12,Mason Rodriguez,US House District 2
Arizona Families First,Horizon Media Group,74026.56,2020-01-28,Michael Lee,US Senate
Arizona Workers Alliance,Southwest AgriFund,55836.68,2023-07-15,Liam Martin,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Horizon Media Group,73748.1,2025-09-24,Evelyn Anderson,Attorney General
Grand Canyon Progress PAC,Pioneer Energy Group,19454.83,2025-11-23,Ella Clark,US House District 2
Arizona Workers Alliance,Pioneer Energy Group,75495.66,2024-05-31,Benjamin Johnson,State House District 20
Clean Government Project,Red Rock Philanthropy,146481.95,2025-10-23,Elijah Harris,State Treasurer
Keep AZ Moving Committee,Mesa Community Trust,101196.93,2024-04-03,Ava Smith,Tucson City Council District 1
Vote Integrity Fund,Sunrise Ventures LLC,129310.84,2022-02-05,Logan Rodriguez,State Senate District 12
Arizona Future Coalition,Canyon Ridge Investments,143789.39,2023-11-06,Isabella Martin,US House District 2
Valley Voters Alliance,Valley Healthcare Group,63009.17,2024-03-04,Ethan Miller,State House District 20
Valley Voters Alliance,Southwest AgriFund,27188.41,2021-06-21,Isabella Harris,State House District 7
Vote Integrity Fund,Red Rock Philanthropy,40674.88,2022-08-23,Emma Hall,US House District 2
Arizona Future Coalition,Pioneer Energy Group,22090.1,2021-09-04,Amelia Miller,Secretary of State
Keep AZ Moving Committee,Frontier Manufacturing Co.,75064.77,2025-10-18,Elijah White,Governor
Arizona Future Coalition,Desert Orchard LLC,37833.36,2020-07-14,James Taylor,State Senate District 12
Desert Shores Coalition,Sunrise Ventures LLC,32516.23,2022-11-07,Elijah Johnson,Tucson City Council District 1
Keep AZ Moving Committee,Southwest AgriFund,111752.83,2022-11-30,Emma Harris,Phoenix City Council District 4
Valley Voters Alliance,Mesa Community Trust,51785.01,2024-08-13,Benjamin Anderson,Maricopa County Supervisor District 2
Arizona Families First,Mesa Community Trust,30043.98,2021-12-15,Michael Rodriguez,Secretary of State
Arizona Workers Alliance,Canyon Ridge Investments,76689.07,2025-01-04,Mia Lee,State Senate District 12
Bold Arizona Voices,Sunrise Ventures LLC,69696.87,2021-08-16,Jacob Taylor,State House District 7
Clean Government Project,Valley Healthcare Group,94783.19,2024-07-15,Mia White,Phoenix City Council District 4
Clean Government Project,Horizon Media Group,51707.92,2023-07-08,Noah Davis,US Senate
Valley Voters Alliance,Red Rock Philanthropy,90906.4,2024-06-07,Emily Anderson,State Senate District 5
Grand Canyon Progress PAC,Horizon Media Group,112247.35,2025-11-03,Ella Moore,State House District 20
Keep AZ Moving Committee,Pioneer Energy Group,18974.73,2022-08-19,Elijah Smith,US House District 1
Neighbors for Better Government,Canyon Ridge Investments,12239.69,2021-11-14,Emily Hall,Tucson City Council District 1
Desert Shores Coalition,Sunrise Ventures LLC,82377.95,2020-04-17,Noah Martin,US Senate
Arizona Workers Alliance,Pioneer Energy Group,15813.28,2021-09-28,Ella Martinez,Maricopa County Supervisor District 2
Arizona Families First,Red Rock Philanthropy,34596.05,2023-03-09,Amelia Taylor,Attorney General
Keep AZ Moving Committee,Red Rock Philanthropy,125818.04,2020-04-27,Olivia Thompson,US House District 1
Citizens for Fair Elections,Red Rock Philanthropy,70212.22,2023-01-20,Mia Martin,State Senate District 12
Arizona Future Coalition,Gila River Foundation,26761.24,2025-02-13,Emily Robinson,US House District 1
Neighbors for Better Government,Desert Orchard LLC,78638.11,2025-12-26,Evelyn White,Phoenix City Council District 4
Grand Canyon Progress PAC,Horizon Media Group,34262.48,2021-01-01,James Robinson,State Senate District 12
Keep AZ Moving Committee,Canyon Ridge Investments,23568.7,2020-02-13,Ethan Anderson,State Senate District 12
Citizens for Fair Elections,Saguaro Capital,51746.77,2025-04-05,Ella Brown,Secretary of State
Arizona Future Coalition,Copper Ridge Holdings,45116.68,2024-10-29,James Martin,Tucson City Council District 1
Arizona Workers Alliance,Canyon Ridge Investments,82344.78,2022-02-11,Mason Smith,Pima County Board District 3
Desert Shores Coalition,Horizon Media Group,37671.94,2024-05-15,Ethan Jackson,Maricopa County Supervisor District 2
Clean Government Project,Pioneer Energy Group,63480.35,2022-09-08,Isabella Martinez,US House District 2
Arizona Future Coalition,Frontier Manufacturing Co.,102774.88,2023-03-12,Jacob Walker,State Treasurer
Neighbors for Better Government,Desert Orchard LLC,28403.09,2020-10-07,Isabella White,Maricopa County Supervisor District 2
Protect Arizona Values PAC,Valley Healthcare Group,68437.62,2025-01-28,Emma Lewis,State Senate District 5
Grand Canyon Progress PAC,Desert Orchard LLC,48266.4,2021-09-15,James Miller,Pima County Board District 3
Citizens for Fair Elections,Saguaro Capital,42496.65,2021-05-27,Elijah Garcia,Governor
Desert Sunrise Action,Gila River Foundation,13757.0,2020-03-01,Ava Wilson,Tucson City Council District 1
Keep AZ Moving Committee,Desert Tech Partners,117912.37,2025-08-03,Ethan Taylor,State Senate District 12
Valley Voters Alliance,Gila River Foundation,12263.41,2021-08-21,Liam Thomas,Tucson City Council District 1
Citizens for Fair Elections,Canyon Ridge Investments,81592.99,2022-01-13,Amelia Martinez,State Treasurer
Sunrise Civic Action Fund,Horizon Media Group,124280.74,2021-05-14,Isabella Jackson,Secretary of State
Arizona Workers Alliance,Desert Orchard LLC,37262.54,2020-05-17,Amelia Harris,US House District 2
Sunrise Civic Action Fund,Gila River Foundation,78290.58,2022-05-03,Ella Garcia,Tucson City Council District 1
Keep AZ Moving Committee,Pioneer Energy Group,24002.06,2020-06-21,Lucas Thomas,Phoenix City Council District 4
Desert Sunrise Action,Horizon Media Group,38183.58,2023-05-08,Harper Garcia,Maricopa County Supervisor District 2
Sunrise Civic Action Fund,Mesa Community Trust,32863.79,2021-04-07,Liam Lee,Attorney General
Sunrise Civic Action Fund,Red Rock Philanthropy,25312.21,2023-02-04,Mia Smith,State House District 7
Vote Integrity Fund,Sunrise Ventures LLC,145333.03,2025-04-30,Mason Smith,State House District 7
Desert Sunrise Action,Blue Sky Developers,37496.16,2025-08-09,Logan Martinez,US House District 1
Arizona Families First,Red Rock Philanthropy,9242.84,2023-12-27,Mia Lewis,Pima County Board District 3
Neighbors for Better Government,Valley Healthcare Group,19092.66,2022-08-11,Benjamin Garcia,Tucson City Council District 1
Valley Voters Alliance,Saguaro Capital,120877.43,2024-12-01,Abigail Moore,State Treasurer
Desert Sunrise Action,Desert Tech Partners,53885.58,2021-07-05,Emily Jackson,Governor
Grand Canyon Progress PAC,Horizon Media Group,65765.63,2023-04-22,James Walker,Governor
Arizona Future Coalition,Desert Orchard LLC,28197.35,2023-11-25,Sophia Clark,State House District 20
Valley Voters Alliance,Desert Orchard LLC,137192.48,2021-10-18,Isabella Rodriguez,State House District 20
Arizona Families First,Saguaro Capital,122957.93,2024-02-12,Charlotte Taylor,US House District 1
Keep AZ Moving Committee,Copper Ridge Holdings,57011.77,2022-01-29,Abigail Thompson,State Treasurer
Bold Arizona Voices,Copper Ridge Holdings,36008.29,2020-09-16,Logan Rodriguez,Pima County Board District 3
Neighbors for Better Government,Saguaro Capital,78729.45,2025-07-30,Amelia Miller,Secretary of State
Arizona Workers Alliance,Saguaro Capital,48559.36,2023-08-12,Jacob Taylor,US House District 1
Arizona Families First,Sunrise Ventures LLC,6805.65,2021-06-15,Michael Martinez,Maricopa County Supervisor District 2
Protect Arizona Values PAC,Southwest AgriFund,72934.2,2021-02-08,Sophia Garcia,Governor
Citizens for Fair Elections,Blue Sky Developers,73613.97,2022-11-14,Amelia Lee,Phoenix City Council District 4
Citizens for Fair Elections,Mesa Community Trust,10863.38,2022-05-04,Jacob Walker,US House District 2
Neighbors for Better Government,Gila River Foundation,120202.74,2020-09-05,Noah Harris,Attorney General
Valley Voters Alliance,Saguaro Capital,119188.87,2020-08-26,Ethan Moore,Tucson City Council District 1
Clean Government Project,Blue Sky Developers,110211.48,2023-05-29,Harper Johnson,State Senate District 5
Arizona Families First,Desert Tech Partners,108844.5,2025-12-17,Emma Garcia,Maricopa County Supervisor District 2
Desert Shores Coalition,Desert Tech Partners,37502.26,2022-01-02,Harper Lee,US House District 2
Arizona Future Coalition,Desert Orchard LLC,16050.75,2024-01-06,Ethan Hall,Maricopa County Supervisor District 2
Neighbors for Better Government,Gila River Foundation,132452.9,2021-11-14,Michael White,Tucson City Council District 1
Arizona Workers Alliance,Valley Healthcare Group,50792.55,2021-10-09,Amelia Thompson,Maricopa County Supervisor District 2
Arizona Future Coalition,Blue Sky Developers,82624.68,2023-08-22,Logan Thomas,State House District 20
Clean Government Project,Mesa Community Trust,64730.56,2023-08-17,Ella Lewis,State House District 7
Vote Integrity Fund,Desert Tech Partners,56415.7,2022-11-06,Benjamin Miller,Pima County Board District 3
Valley Voters Alliance,Gila River Foundation,109015.41,2023-03-11,Amelia Smith,State House District 20
Vote Integrity Fund,Copper Ridge Holdings,1233.68,2022-06-27,Olivia Taylor,Maricopa County Supervisor District 2
Sunrise Civic Action Fund,Southwest AgriFund,123395.03,2025-09-25,Ava Walker,State Senate District 12
Arizona Future Coalition,Blue Sky Developers,14369.5,2025-02-28,Evelyn Brown,Attorney General
Valley Voters Alliance,Valley Healthcare Group,133471.4,2022-10-20,Isabella Moore,US House District 1
Sunrise Civic Action Fund,Canyon Ridge Investments,85680.45,2022-06-09,Lucas Martinez,State Treasurer
Desert Sunrise Action,Sunrise Ventures LLC,26142.15,2021-01-25,Mia Martin,Tucson City Council District 1
Vote Integrity Fund,Red Rock Philanthropy,121299.09,2024-04-11,Liam Hall,State Senate District 5
Arizona Families First,Frontier Manufacturing Co.,52352.55,2024-11-13,Ella Thomas,Governor
Desert Shores Coalition,Horizon Media Group,112214.88,2020-02-16,Emma Wilson,Secretary of State
Neighbors for Better Government,Frontier Manufacturing Co.,45891.31,2020-06-17,Amelia Johnson,Phoenix City Council District 4
Valley Voters Alliance,Saguaro Capital,75484.64,2022-06-23,Olivia Thomas,Pima County Board District 3
Protect Arizona Values PAC,Copper Ridge Holdings,145663.28,2025-08-29,Daniel Jackson,Phoenix City Council District 4
Arizona Families First,Desert Tech Partners,22414.86,2023-10-08,Lucas Jackson,State House District 7
Arizona Families First,Gila River Foundation,82335.82,2022-12-11,Daniel Johnson,Pima County Board District 3
Arizona Families First,Pioneer Energy Group,19773.68,2021-07-06,Ethan Walker,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Saguaro Capital,97924.2,2022-03-14,James Jackson,US House District 2
Arizona Future Coalition,Blue Sky Developers,36536.68,2022-12-26,Harper Wilson,Tucson City Council District 1
Arizona Workers Alliance,Pioneer Energy Group,13666.8,2024-08-21,Michael Clark,State Senate District 12
Desert Shores Coalition,Mesa Community Trust,51842.61,2020-04-09,Sophia Thomas,State Senate District 12
Arizona Workers Alliance,Canyon Ridge Investments,123282.21,2024-12-16,Logan Rodriguez,US House District 1
Vote Integrity Fund,Valley Healthcare Group,30152.86,2024-03-11,Liam Wilson,State House District 20
Protect Arizona Values PAC,Frontier Manufacturing Co.,111002.35,2022-09-22,Noah Garcia,Tucson City Council District 1
Vote Integrity Fund,Horizon Media Group,51654.89,2021-03-31,Lucas Smith,US House District 1
